temperature,vibration,pressure,rpm,age_days,failure
82.45071229516849,0.3643010539025556,106.96572495333636,1103.8856064879187,187,0
72.92603548243223,0.43890010738926943,105.66647185071334,1289.0028706126257,239,0
84.71532807151038,0.3805237877909714,81.26960308389017,1382.5943187414828,2,0
97.84544784612038,0.5220836093892239,111.59168443527477,1529.9337821849383,5,0
71.48769937914996,0.7394357062923825,70.19834648846764,1704.8324653213756,259,0
71.4879456457623,0.3457915685717591,86.91631348479342,1638.8271886743528,100,0
98.68819223261087,0.7001640995536829,60.01824374204384,1264.135040310503,308,0
86.51152093729362,0.34366558553062243,131.1725303392563,1425.6575475668694,358,1
67.95788421097572,0.33047455750062316,95.36901012109409,1515.2751177405132,326,0
83.13840065378947,0.6637189236686427,143.33768069632623,1447.5585751107,165,0
68.04873460781306,0.6843872756015233,116.0589985303899,1446.1409548263412,163,0
68.01405369644614,0.6702819873525309,108.96196426702049,1155.4513350691457,289,0
78.62943407349051,0.23684051835637177,88.27544611438002,1269.453169772072,5,0
46.30079633013303,0.40680980438558983,79.0729992862516,1419.4120301721453,26,0
49.12623251230451,0.6645977184006643,110.4594314779389,881.3548650109675,38,0
66.5656870613854,0.5083083681127789,98.56971981454036,1628.128864001971,306,0
59.80753319498364,0.28526143076050714,73.21459369029398,1225.464180057786,274,0
79.71370998892911,0.5916635878250883,69.66283166983362,1637.3676266530276,95,0
61.37963886718184,0.3570385482017059,80.82592541712833,1619.783200894182,343,0
53.81544447997062,0.8589049696784424,136.4193445053246,1391.261391377523,161,0
96.98473153382331,0.8089682924836517,144.26555836022607,1700.1096651403075,88,1
71.61335549270197,0.6208194852711135,104.0997829461782,1648.6394689849867,246,0
76.01292307031886,0.7722013409539548,102.97885592482577,1438.207705833072,23,0
53.62877720679815,0.5129582700246762,93.27359256340958,1415.6480769616603,152,0
66.83425913212226,0.6530874988750032,81.31029303380996,1719.4465571328712,331,0
76.66383884564799,0.795544059060415,127.50358115214487,1546.4027678815328,349,0
57.73509633866546,0.5490997363588626,137.47152787794272,1708.9394336736284,242,0
80.63547027518509,0.44896256569714327,82.1316182832143,1022.2051851294526,197,0
65.99041965121792,0.1590756083645768,98.34323243150797,1519.6970194038925,29,0
70.62459375310085,0.4833732948557012,91.00267398579665,1184.5181826061255,206,0
65.97440081655904,0.6646846369124623,91.59521850270046,1494.8422985026473,220,0
102.78417276763406,0.689126685513526,123.71816510859725,1642.7640416691768,53,0
74.79754162893099,0.6008730131436819,73.76076909267756,1847.8280291498206,77,0
59.13433606566149,0.39174018100755204,109.32939381872612,1312.3666543125628,119,0
87.33817368154783,0.10463568621048186,114.56476214611732,1394.8590389396034,280,0
56.68734525043467,0.400956980399053,97.15697652796362,1480.8934185848925,236,0
78.13295392507133,0.4391310257892097,117.86135653973545,1305.093779707622,260,0
45.60494814180336,0.43741420656199714,102.953036810749,1695.7119457578515,1,0
55.07720926652354,0.6237112713955849,124.34259842312224,1485.9810909268754,79,0
77.95291853803685,0.8971352822029679,69.55589390148292,1524.3914046752093,358,0
86.07699869993115,0.5247058403682187,93.02449477986261,1624.0346253548319,190,0
77.57052421784955,0.4566536421687077,98.5637371429793,1485.6576967249182,123,0
73.2652757641764,0.4481556373991815,46.555852310573016,1336.492174364827,181,0
70.48344456616067,0.5248769533815428,78.28094532842931,1487.3959523403066,123,0
52.82217014448859,0.33434124793032016,83.72801491282428,1328.7637280973222,16,0
64.20233687407936,0.524039711749211,118.964119896467,1521.5961778232972,30,0
68.09041843560318,0.5901624672663599,85.86313307370798,1699.3875441603593,133,0
90.85683339328374,0.5419372127148976,83.63842025388045,1265.0043415455336,222,0
80.15427434352692,0.5915083868009563,116.34971561312383,1193.5257997115814,69,0
48.554397669558995,0.5867495218697071,67.64178708419891,1509.849987183935,291,0
79.86125954092192,0.14562066355071124,58.575118651128555,1346.4400766512188,92,0
69.22376579375525,0.6273740316790807,92.76815399861307,1506.3490548823938,72,0
64.84616999541062,0.36579703086750925,71.0458646384329,1564.0807041219402,137,0
84.17514433261302,0.2808321673992084,71.80641410680701,1071.262754214292,23,0
90.46499283743927,0.2791096344290007,111.46867583375963,1637.9698855317083,167,0
88.96920178674299,0.5867083220945059,117.51947675825159,1266.0662994089503,257,0
62.41173715166042,0.45548501455502943,115.7772843170425,1495.530409887062,275,0
70.36181436223178,0.16360624320291783,122.17553320614465,1368.123532912314,288,0
79.96895147105346,0.5956075630384567,124.82268640029604,1389.6085970431411,13,0
89.63317690683539,0.21207837384023454,57.42819582346138,1838.7915879235977,54,0
67.81238643232065,0.5279642717036421,109.00823919858934,1563.8535041591322,292,0
72.21511535004274,0.5476997851346108,89.40783600860883,1680.9376805907182,215,0
58.40497538990958,0.677115416339009,85.05151508019128,1530.1882708405485,360,0
57.05690063878994,0.8563369572933703,111.20829264417411,1624.0027149309908,83,0
87.18788733591298,0.22706473481989164,65.39409040208497,1583.4756724286904,160,0
95.34360042856234,0.4895052287873901,64.9778278825536,1550.8912289373652,305,1
73.91984817629499,0.4447329409911565,112.67145488163435,1721.431181832936,227,0
90.05299346838036,0.5867499371921925,109.75572035021796,1531.301090768854,83,0
80.42454037571451,0.5431337541867237,102.7346531174302,1957.029714443541,197,0
65.32320368092314,0.429490751452676,82.40173190553726,1692.1063145624876,199,0
80.4209340826262,0.4118195622778289,114.87659269164249,1272.091860452062,334,0
98.07054849698955,0.2767098289631905,113.60605784120952,1464.6900582034036,341,0
74.46260941335073,0.6975723164813019,101.70609030094909,1579.4155198981337,178,0
98.4696548372101,0.5918408363199059,76.45357917460457,1508.8993671424073,188,0
35.703823438653835,0.6835536395590275,91.49503308540986,1637.3746837944336,155,0
87.32853756562835,0.43792077270489727,116.75667355048886,1659.4033409667747,227,0
76.30570602357257,0.3686329062611139,126.54382445603574,1228.082602840207,355,0
70.51488974301199,0.2843369866741544,93.46926793247343,1756.215508943299,171,0
76.37641164803253,0.5717835167481319,95.00654064383475,1400.636506902791,210,0
45.18646628098661,0.29204135509435303,96.76621783949878,1380.8190988270485,56,0
71.70492168243732,0.8697326137933101,105.49786017821944,1380.1755214588918,153,0
80.35668857267619,0.2384714837813119,88.37865399879952,1661.7152811981166,24,0
97.16841067112274,0.5547320238425004,42.11629884856833,1446.5864603704429,270,0
67.22594672589528,0.8133709414427572,123.85538003294194,1367.2896711324586,201,0
62.87259595660218,0.6198179518527618,135.893778943251,1415.2081685112926,358,0
67.47364434623195,0.5351347424983559,87.75200280788575,1141.0616682168247,97,0
88.73103176553111,0.30630327060762086,78.66693262162451,1331.5672472097026,76,0
79.93126664489526,0.22364616228645923,97.25798955219555,1252.08329026938,359,0
67.05359694349441,0.6540100217835172,96.24992232542454,1446.1661339008217,320,0
82.69901149670034,0.8012294481549893,119.91037154325919,1632.8386540547185,110,0
76.4561632402206,0.4122300019043657,101.09278883290075,1610.7751801866455,122,0
89.52967485799334,0.27218769847672974,84.14754339257634,1751.3500995093166,53,0
64.46920359183972,0.008366113890196258,73.63181098883902,1706.7951634593242,205,0
70.08506780103347,0.30384703126749246,117.31268369639346,1394.2806570163245,166,0
69.11837770301764,0.47726863150019194,111.99022482328499,1503.8142801507427,275,0
53.04727577801822,0.8198246481673468,121.21119756183637,1493.4887811557162,88,0
